,country,total
0,US,3270883676.0199995
1,GB,298732943.2253976
2,CA,112432907.01273413
3,AU,54965224.867824875
4,DE,54424475.454548456
5,FR,48536026.19308696
6,NL,36543906.82453668
7,IT,25627131.6417825
8,ES,24281129.462916933
9,HK,22263452.468548547
10,SE,20266478.7278919
11,CH,19435417.638828836
12,AT,14451653.888556978
13,DK,11033924.532265777
14,NZ,10581166.466257371
15,SG,9507867.910733338
16,BE,5963505.71252429
17,IE,5678333.700296405
18,JP,4676375.587420921
19,MX,4091229.6046037152
20,NO,3897921.5160813914
21,LU,546185.6609718746
