,city,company_name,id,qualifying_party,state
0,Baton Rouge,"A. S. Gomez, Inc.",259104,,LA
1,Houston,"Acadian Roofing, LLC",298888,,TX
2,BATON ROUGE,AGR Construction LLC,283441,,LA
3,Covington,"ALL AROUND ROOFING, LLC",293664,,LA
4,Baton Rouge,Alvarez Roofing L.L.C.,242739,,LA
5,Gonzales,"AMERICANO REMODEL & DEVELOPMENT, LLC",281592,,LA
6,Fenton,Arei LLC,251315,,MO
7,Tyler,AXION SALES FORCE INC.,286524,,TX
8,Metairie,"B & J ENTERPRISE OF METAIRIE, INC",289167,,LA
9,Millsap,"Big Thicket Ventures, LLC",309630,,TX
10,Baton Rouge,Blanco Brothers Construction LLC,224135,,LA
11,Baton Rouge,"Blanco's Roofing & Sheetmetal, LLC",190021,,LA
12,Baton Rouge,"C & J Construction, L.L.C.",275618,,LA
13,COVINGTON,CF Breeze Construction LLC,291081,,LA
14,White Oak,"CLEAN CUT GENERAL CONTRACTORS, LLC",293685,,TX
15,Clewiston,"Clyde Johnson Contracting and Roofing, Inc.",307554,,FL
16,Shreveport,"Constructiva Roofing, LLC",307436,,LA
17,Plano,"Crest Exteriors Louisiana, LLC",306250,,TX
18,Geismar,"Dependable Roofing of Baton Rouge, LLC",262571,,LA
19,Covington,"EAGLE EYE INVESTMENTS, LLC",231706,,LA
20,Denver,Eco Roof and Solar Inc.,307455,,CO
21,Lexington,"Exterior Genie, LLC",307459,,SC
22,Baton Rouge,FCB ENTERPRISES LLC,290240,,LA
23,Marrero,Garcia & Jaimes Contractors LLC,281020,,LA
24,Shreveport,Golden Roofing LLC,301313,,LA
25,Pearland,Gulf-Tex Roofing & Services LLC,307655,,TX
26,Lake Charles,HP Fontenot Builders LLC,280989,,LA
27,Baton Rouge,HSR CONSTRUCTION LLC,210260,,LA
28,North Richland Hills,"Hunter's Precision Commercial Construction, Inc.",298089,,TX
29,Houston,"Infinity Roofing & Siding, Inc.",251414,,TX
30,Hessmer,"INLINE ROOFING, L.L.C.",255299,,LA
31,Baton Rouge,J FLORES CONSTRUCTION L.L.C,264365,,LA
32,Baton Rouge,"J Reyes Construction, LLC",299144,,LA
33,Fort Worth,J.C. Metal Roofing INC,308038,,TX
34,Shreveport,JB ROOFING & CONSTRUCTION LLC,292240,,LA
35,Denham Springs,Jose Chavez Roofing LLC,298685,,LA
36,Baton Rouge,Jose Reyes,243415,,LA
37,Arnaudville,JOSEPH RICHARD ROOFING LLC,288631,,LA
38,White Castle,"JRE, LLC",222192,,LA
39,Shreveport,L. C. POLK JR,285493,,LA
40,BATON ROUGE,LA Central Sheet Metal & Roofing LLC,275626,,LA
41,Lake Charles,Lake Area Roofing LLC,304032,,LA
42,Irving,"Linear Roofing & General Contractors, LLC",308176,,TX
43,HUMBLE,Madison Reece LLC,309754,,TX
44,Prairieville,"Maldonado Construction, LLC",277976,,LA
45,Hattiesburg,"MALONE ROOFING SERVICES, LLC",252388,,MS
46,Kenner,Martinez Contracting LLC,309671,,LA
47,Yukon,"Millennium Roofing and Construction, LLC",307929,,OK
48,Pearl River,Milton E. Johnson,297791,,LA
49,Metairie,Nopat Construction LLC,301250,,LA
50,Houston,"Onpoint Roofing, LP",309016,,TX
51,Hammond,Oscar R. Dubon,220688,,LA
52,Baton Rouge,P & P Mayo Construction LLC,301378,,LA
53,Rayne,PABLO GONZALEZ,286005,,LA
54,Omaha,"Phoenix Group of Omaha, Inc., The",309923,,NE
55,West Monroe,Pineda Constructions LLC,265087,,LA
56,Baton Rouge,Premier South LLC,238995,,LA
57,Sulphur,Pro Roofing LLC,307822,,LA
58,Little Elm,Quesste Ventures LLC,312155,,TX
59,KENNEDALE,"Quick Roofing, LLC",270005,,TX
60,Westlake,R & L Roofing & Siding LLC,303731,,LA
61,Gretna,Rafael Garcia Construction L.L.C,278805,,LA
62,Covington,RBJ Roofing LLC,299168,,LA
63,Katy,"Remedy Roofing, Inc.",229651,,TX
64,Houma,"RENE THE TINNER, INC.",181393,,LA
65,Rockwall,Robert N. Cordts,310456,,TX
66,Oak Grove,"Rock Builder's Of Northeast La, LLC",289350,,LA
67,Center,"S GOODWIN ROOF SERVICE, LLC",237008,,TX
68,Jackson,Sasha Rios,306763,,MS
69,Humble,"Seibert Enterprises, LLC",298403,,TX
70,Slidell,SHIFFLETT EXTERIORS LLC,280762,,LA
71,Kenner,South Building Services LLC,305808,,LA
72,Ponchatoula,"SOUTHERN FRAMERS OF LA, LLC",277746,,LA
73,Lake Charles,SRK INC,313061,,LA
74,Tyler,"Stonewater Roofing, Ltd. Co. LLC",296849,,TX
75,Baton Rouge,"Structrum , LLC",316681,,LA
76,Geismar,"T&RV Construction, LLC",308324,,LA
77,Melissa,"Tallent Roofing, Inc.",245648,,TX
78,Sumter,Terry Eddie Land,307367,,SC
79,Gonzales,"Top-Notch Roofing & Construction, LLC",312437,,LA
80,Ruston,"Trifecta Solutions, LLC",309771,,LA
81,Baton Rouge,"V & V Roofing & Sheet Metal, L.L.C.",219384,,LA
82,Shreveport,Vigil Construction LLC,305587,,LA
83,Baton Rouge,"VR&C, LLC",303865,,LA
84,Denham Springs,"Welner's Construction, LLC",297583,,LA
85,Lake Charles,You Call We Haul Services LLC,308699,,LA
