Name,Postal Code,refugees
Alabama,AL,103.0
Alaska,AK,7.0
Arizona,AZ,2077.0
Arkansas,AR,16.0
California,CA,11081.0
Colorado,CO,627.0
Connecticut,CT,448.0
Delaware,DE,57.0
Florida,FL,907.0
Georgia,GA,1756.0
Hawaii,HI,56.0
Idaho,ID,888.0
Illinois,IL,974.0
Indiana,IN,275.0
Iowa,IA,129.0
Kansas,KS,206.0
Kentucky,KY,232.0
Louisiana,LA,241.0
Maine,ME,384.0
Maryland,MD,692.0
Massachusetts,MA,673.0
Michigan,MI,780.0
Minnesota,MN,220.0
Mississippi,MS,43.0
Missouri,MO,1170.0
Nebraska,NE,472.0
Nevada,NV,298.0
New Hampshire,NH,116.0
New Jersey,NJ,738.0
New Mexico,NM,335.0
New York,NY,5248.0
North Carolina,NC,498.0
North Dakota,ND,112.0
Ohio,OH,462.0
Oklahoma,OK,80.0
Oregon,OR,510.0
Pennsylvania,PA,815.0
Rhode Island,RI,28.0
South Carolina,SC,77.0
South Dakota,SD,104.0
Tennessee,TN,452.0
Texas,TX,2405.0
Utah,UT,403.0
Vermont,VT,31.0
Virginia,VA,3765.0
Washington,WA,861.0
West Virginia,WV,11.0
Wisconsin,WI,204.0
Wyoming,WY,35.0
