Name,Postal Code,year,refugees
Alabama,AL,1983,15.0
Alabama,AL,1984,14.0
Alabama,AL,1985,6.0
Alabama,AL,2002,10.0
Alabama,AL,2003,5.0
Alabama,AL,2009,5.0
Alabama,AL,2010,8.0
Alabama,AL,2011,5.0
Alabama,AL,2012,7.0
Alabama,AL,2013,9.0
Alabama,AL,2014,1.0
Alabama,AL,2016,9.0
Alabama,AL,2017,9.0
Alaska,AK,1983,1.0
Alaska,AK,1984,6.0
Arizona,AZ,1980,4.0
Arizona,AZ,1981,2.0
Arizona,AZ,1982,5.0
Arizona,AZ,1983,5.0
Arizona,AZ,1984,1.0
Arizona,AZ,1985,13.0
Arizona,AZ,1986,31.0
Arizona,AZ,1987,68.0
Arizona,AZ,1988,74.0
Arizona,AZ,1989,54.0
Arizona,AZ,1991,53.0
Arizona,AZ,1992,56.0
Arizona,AZ,1993,32.0
Arizona,AZ,1998,1.0
Arizona,AZ,1999,21.0
Arizona,AZ,2000,125.0
Arizona,AZ,2001,284.0
Arizona,AZ,2002,198.0
Arizona,AZ,2003,107.0
Arizona,AZ,2004,45.0
Arizona,AZ,2005,130.0
Arizona,AZ,2006,82.0
Arizona,AZ,2007,22.0
Arizona,AZ,2008,77.0
Arizona,AZ,2009,36.0
Arizona,AZ,2010,40.0
Arizona,AZ,2011,16.0
Arizona,AZ,2012,19.0
Arizona,AZ,2013,53.0
Arizona,AZ,2014,47.0
Arizona,AZ,2015,37.0
Arizona,AZ,2016,191.0
Arizona,AZ,2017,65.0
Arizona,AZ,2018,83.0
Arkansas,AR,1981,13.0
Arkansas,AR,1986,2.0
Arkansas,AR,1987,1.0
California,CA,1980,7.0
California,CA,1981,421.0
California,CA,1982,117.0
California,CA,1983,800.0
California,CA,1984,851.0
California,CA,1985,820.0
California,CA,1986,1000.0
California,CA,1987,1028.0
California,CA,1988,861.0
California,CA,1989,609.0
California,CA,1990,68.0
California,CA,1991,561.0
California,CA,1992,807.0
California,CA,1993,241.0
California,CA,1994,12.0
California,CA,1995,6.0
California,CA,1996,2.0
California,CA,1997,3.0
California,CA,1998,4.0
California,CA,1999,43.0
California,CA,2000,224.0
California,CA,2001,309.0
California,CA,2002,201.0
California,CA,2003,188.0
California,CA,2004,100.0
California,CA,2005,48.0
California,CA,2006,59.0
California,CA,2007,33.0
California,CA,2008,42.0
California,CA,2009,64.0
California,CA,2010,98.0
California,CA,2011,93.0
California,CA,2012,118.0
California,CA,2013,163.0
California,CA,2014,132.0
California,CA,2015,268.0
California,CA,2016,442.0
California,CA,2017,106.0
California,CA,2018,132.0
Colorado,CO,1981,35.0
Colorado,CO,1982,7.0
Colorado,CO,1983,21.0
Colorado,CO,1984,18.0
Colorado,CO,1985,62.0
Colorado,CO,1986,30.0
Colorado,CO,1987,51.0
Colorado,CO,1988,28.0
Colorado,CO,1989,26.0
Colorado,CO,1991,12.0
Colorado,CO,1992,32.0
Colorado,CO,1993,9.0
Colorado,CO,1998,11.0
Colorado,CO,1999,12.0
Colorado,CO,2000,17.0
Colorado,CO,2001,22.0
Colorado,CO,2002,29.0
Colorado,CO,2003,31.0
Colorado,CO,2004,6.0
Colorado,CO,2005,5.0
Colorado,CO,2006,22.0
Colorado,CO,2009,2.0
Colorado,CO,2010,4.0
Colorado,CO,2013,18.0
Colorado,CO,2014,17.0
Colorado,CO,2015,20.0
Colorado,CO,2016,43.0
Colorado,CO,2017,18.0
Colorado,CO,2018,19.0
Connecticut,CT,1981,13.0
Connecticut,CT,1983,21.0
Connecticut,CT,1984,12.0
Connecticut,CT,1985,14.0
Connecticut,CT,1986,17.0
Connecticut,CT,1987,5.0
Connecticut,CT,1988,2.0
Connecticut,CT,1989,3.0
Connecticut,CT,1992,5.0
Connecticut,CT,1999,3.0
Connecticut,CT,2000,49.0
Connecticut,CT,2001,31.0
Connecticut,CT,2002,44.0
Connecticut,CT,2003,21.0
Connecticut,CT,2004,7.0
Connecticut,CT,2005,32.0
Connecticut,CT,2006,9.0
Connecticut,CT,2007,10.0
Connecticut,CT,2009,4.0
Connecticut,CT,2010,23.0
Connecticut,CT,2011,8.0
Connecticut,CT,2012,14.0
Connecticut,CT,2013,13.0
Connecticut,CT,2014,4.0
Connecticut,CT,2015,11.0
Connecticut,CT,2016,38.0
Connecticut,CT,2017,18.0
Connecticut,CT,2018,17.0
Delaware,DE,1986,8.0
Delaware,DE,1989,5.0
Delaware,DE,1993,14.0
Delaware,DE,2000,5.0
Delaware,DE,2001,7.0
Delaware,DE,2002,16.0
Delaware,DE,2018,2.0
Florida,FL,1981,29.0
Florida,FL,1982,4.0
Florida,FL,1983,28.0
Florida,FL,1984,35.0
Florida,FL,1985,12.0
Florida,FL,1986,36.0
Florida,FL,1987,38.0
Florida,FL,1988,23.0
Florida,FL,1989,45.0
Florida,FL,1991,6.0
Florida,FL,1993,4.0
Florida,FL,1999,16.0
Florida,FL,2000,86.0
Florida,FL,2001,144.0
Florida,FL,2002,81.0
Florida,FL,2003,31.0
Florida,FL,2004,51.0
Florida,FL,2005,35.0
Florida,FL,2006,1.0
Florida,FL,2007,8.0
Florida,FL,2008,8.0
Florida,FL,2009,9.0
Florida,FL,2010,8.0
Florida,FL,2011,3.0
Florida,FL,2012,36.0
Florida,FL,2013,17.0
Florida,FL,2015,19.0
Florida,FL,2016,77.0
Florida,FL,2017,10.0
Florida,FL,2018,7.0
Georgia,GA,1980,2.0
Georgia,GA,1981,14.0
Georgia,GA,1982,6.0
Georgia,GA,1983,70.0
Georgia,GA,1984,40.0
Georgia,GA,1985,35.0
Georgia,GA,1986,72.0
Georgia,GA,1987,58.0
Georgia,GA,1988,54.0
Georgia,GA,1989,77.0
Georgia,GA,1990,14.0
Georgia,GA,1991,45.0
Georgia,GA,1992,72.0
Georgia,GA,1993,75.0
Georgia,GA,1998,8.0
Georgia,GA,1999,60.0
Georgia,GA,2000,121.0
Georgia,GA,2001,137.0
Georgia,GA,2002,92.0
Georgia,GA,2003,67.0
Georgia,GA,2004,33.0
Georgia,GA,2005,74.0
Georgia,GA,2006,48.0
Georgia,GA,2007,9.0
Georgia,GA,2008,29.0
Georgia,GA,2009,16.0
Georgia,GA,2010,67.0
Georgia,GA,2011,27.0
Georgia,GA,2012,49.0
Georgia,GA,2013,25.0
Georgia,GA,2014,32.0
Georgia,GA,2015,37.0
Georgia,GA,2016,119.0
Georgia,GA,2017,38.0
Georgia,GA,2018,34.0
Hawaii,HI,1981,5.0
Hawaii,HI,1982,20.0
Hawaii,HI,1983,17.0
Hawaii,HI,1984,11.0
Hawaii,HI,1987,2.0
Hawaii,HI,1988,1.0
Idaho,ID,1992,8.0
Idaho,ID,2000,48.0
Idaho,ID,2001,151.0
Idaho,ID,2002,100.0
Idaho,ID,2003,63.0
Idaho,ID,2004,28.0
Idaho,ID,2005,29.0
Idaho,ID,2006,29.0
Idaho,ID,2007,33.0
Idaho,ID,2008,94.0
Idaho,ID,2009,49.0
Idaho,ID,2010,45.0
Idaho,ID,2011,19.0
Idaho,ID,2012,35.0
Idaho,ID,2013,29.0
Idaho,ID,2014,17.0
Idaho,ID,2015,26.0
Idaho,ID,2016,75.0
Idaho,ID,2017,4.0
Idaho,ID,2018,6.0
Illinois,IL,1981,14.0
Illinois,IL,1983,43.0
Illinois,IL,1984,69.0
Illinois,IL,1985,39.0
Illinois,IL,1986,28.0
